" ","Gradient","Dominerende (DL)_NA","Dominerende (DL)_BS3","Vanlig forekommende (VFL)_NA","Vanlig forekommende (VFL)_BS3","Gradient-tyngdepunkt-landskapselement (GTL)_NA","Gradient-tyngdepunkt-landskapselement (GTL)_BS3"
"LA-IA","RE-IA-1","NA-V1, NA-V2, NA-V3, NA-L, NA-F","BS-3EL, BS-3TO","NA-T18, NA-T30","BS-3AB, BS-3AR, BS-3ER, BS-3TO"," ","BS-3TO–HK, BS-3TO–HE"
"LA-IA","RE-IA-2"," ","BS-3EB","NA-V1, NA-V2, NA-V3, NA-L, NA-F","BS-3AB, BS-3TO"," ","BS-3TO–HE"
"LA-IA","RE-IA-3"," ","BS-3EB","NA-V1, NA-L, NA-F","BS-3AB, BS-3TO, BS-3TO–BA","NA-V4"," "
"LA-IA","RE-IA-4","NA-T1","BS-3EB","NA-T13","BS-3ML"," "," "
"LA-IA","RE-IA-5","NA-T1","BS-3EB","NA-T13","BS-3ML"," "," "
"LA-IA","BP-1"," "," "," "," "," "," "
"LA-IA","BP-2","NA-I1, NA-T26","BS-3AB, BS-3BF, BS-3EB","NA-L, NA-F","BS-3AR, BS-3EL, BS-3ER, BS-3FP"," "," "
"LA-IA","VE-1","NA-T4"," ","NA-T2, NA-T32"," "," "," "
"LA-IA","VE-2","NA-T31"," ","NA-T2, NA-T3,NA-T32, NA-T34, NA-T4"," "," "," "
"LA-IA","VE-3","NA-T3, NA-T14"," ","NA-T1, NA-T3,NA-T31, NA-T7"," "," "," "
"LA-IA","VE-4","NA-T1, NA-T7, NA-T22, NA-T27"," ","NA-T14, NA-T19, NA-T22, NA-T3","BS-3FP"," "," "
"LA-IA","AI-1"," "," "," "," "," "," "
"LA-IA","AI-2","NA-T32, NA-T35, NA-T37, NA-T39, NA-T40, NA-T42, NA-T43, NA-T44, NA-T45"," ","NA-T39, NA-T40,NA-T42, NA-T43, NA-T44, NA-T45"," ","NA-T41, NA-T32"," "
"LA-IA","AI-3","NA-T35, NA-T37, NA-T39"," ","NA-T40,NA-T42, NA-T43,NA-T44"," "," "," "
"LA-IA","AI-4","NA-T35, NA-T37, NA-T39"," ","NA-T42, NA-T43"," "," "," "
"LA-IA","JP-1"," "," "," "," "," "," "
"LA-IA","JP-2","NA-T44, NA-T45"," ","NA-T32"," ","NA-T41, NA-T32"," "
"LA-ID","RE-ID-1"," ","BS-3EB, BS-3ER","NA-T18, NA-T30, NA-V1, NA-V3","BS-3AB, BS-3AR, BS-3EL, BS-3ML, BS-3TO"," ","BS-3TO–HK, BS-3TO–HE"
"LA-ID","RE-ID-2"," ","BS-3EB, BS-3ER","NA-T18, NA-T30, NA-V1, NA-V3","BS-3AB, BS-3AR, BS-3EB, BS-3EL, BS-3ML, BS-3TO"," ","BS-3TO–HE"
"LA-ID","RE-ID-3"," ","BS-3EB, BS-3ER","NA-T1, NA-T13, NA-T16, NA-T18, NA-T30","BS-3AB, BS-3AR, BS-3EL, BS-3ML"," "," "
"LA-ID","RE-ID-4","NA-T1","BS-3EB, BS-3ER","NA-T13, NA-T18, NA-T30","BS-3AR, BS-3EL, BS-3ML","NA-T15, NA-T16"," "
"LA-ID","IP-1"," "," ","NA-L, NA-F"," "," "," "
"LA-ID","IP-2","NA-L, NA-F"," "," "," "," "," "
"LA-ID","IP-3","NA-L, NA-F"," "," "," ","NA-T23"," "
"LA-ID","BP-1"," "," "," "," "," "," "
"LA-ID","BP-2","NA-I1, NA-T26","BS-3AB, BS-3BF, BS-3EB","NA-L, NA-F","BS-3AR, BS-3EL, BS-3ER, BS-3FP"," "," "
"LA-ID","VE-1","NA-T4"," ","NA-T2"," "," "," "
"LA-ID","VE-2","NA-T31"," ","NA-T2, NA-T34, NA-T4, NA-T7"," ","NA-T32"," "
"LA-ID","VE-3","NA-T3, NA-T14"," ","NA-T1, NA-T22, NA-T31, NA-T7"," "," "," "
"LA-ID","VE-4","NA-T1, NA-T22, NA-T7"," ","NA-T14, NA-T19, NA-T27, NA-T3","BS-3FP"," "," "
"LA-ID","AI-1"," "," "," "," "," "," "
"LA-ID","AI-2"," "," ","NA-T35, NA-T37, NA-T39, NA-T40, NA-T42, NA-T43,NA-T44, NA-T45"," "," "," "
"LA-ID","AI-3","NA-T37, NA-T39"," ","NA-T40, NA-T42, NA-T43, NA-T44"," "," "," "
"LA-ID","AI-4","NA-T37, NA-T39"," ","NA-T42, NA-T43"," "," "," "
"LA-ID","JP-1"," "," "," "," "," "," "
"LA-ID","JP-2","NA-T44, NA-T45"," "," "," ","NA-T41, NA-T32"," "
"LA-IS","KA-1"," "," ","NA-T34"," "," "," "
"LA-IS","KA-2"," "," "," "," "," "," "
"LA-IS","VP-1"," "," ","NA-V1, NA-V3, NA-L, NA-F","BS-3TO"," "," "
"LA-IS","VP-2","NA-V1, NA-V2, NA-V3, NA-L, NA-F","BS-3TO","NA-V11, NA-V12","BS-3TO–HK","NA-V8"," "
"LA-IS","BP-1"," "," "," "," "," "," "
"LA-IS","BP-2","NA-I1, NA-T26","BS-3AB, BS-3BF, BS-3EB","NA-L, NA-F","BS-3AR, BS-3EL, BS-3ER, BS-3FP"," "," "
"LA-IS","VE-1","NA-T4"," ","NA-T2"," "," "," "
"LA-IS","VE-2","NA-T31"," ","NA-T2, NA-T34, NA-T4, NA-T7"," ","NA-T32"," "
"LA-IS","VE-3","NA-T3, NA-T14"," ","NA-T1, NA-T22, NA-T31, NA-T7"," "," "," "
"LA-IS","VE-4","NA-T1, NA-T22, NA-T7"," ","NA-T14, NA-T19, NA-T27, NA-T3","BS-3FP"," "," "
"LA-IS","AI-1"," "," "," "," "," "," "
"LA-IS","AI-2"," "," ","NA-T35, NA-T37, NA-T39, NA-T40, NA-T42, NA-T43, NA-T44, NA-T45"," "," "," "
"LA-IS","AI-3","NA-T35, NA-T37, NA-T39"," ","NA-T40, NA-T42, NA-T43, NA-T44"," "," "," "
"LA-IS","AI-4","NA-T35, NA-T37, NA-T39"," ","NA-T42, NA-T43"," "," "," "
"LA-IS","JP-1"," "," "," "," "," "," "
"LA-IS","JP-2","NA-T44, NA-T45"," "," ","BS-3AR–LS, BS-3ER-RL","NA-T41, NA-T32"," "
"LA-KF","RE-KF-1","NA-M, NA-H","BS-3EB","NA-T6, NA-T12, NA-T21, NA-T24, NA-T29","BS-3AB, BS-3AR, BS-3EL, BS-3ML, BS-3KP"," "," "
"LA-KF","RE-KF-2","NA-M, NA-H","BS-3EB","NA-T6, NA-T12, NA-T21, NA-T29","BS-3AB, BS-3AR, BS-3EB, BS-3EL, BS-3ML, BS-3KP"," "," "
"LA-KF","RE-KF-3","NA-M, NA-H","BS-3EB","NA-T6, NA-T1, NA-T12"," "," "," "
"LA-KF","RE-KF-4","NA-M, NA-H, NA-T1","BS-3EB","NA-T6, NA-T13, NA-T15, NA-T16","BS-3EL, BS-3ML, BS-3KP, BS-3MR, BS-3AR"," "," "
"LA-KF","VP-1"," "," ","NA-L, NA-F","BS-3TO"," "," "
"LA-KF","VP-2","NA-V1, NA-V3, NA-L, NA-F","BS-3TO","NA-V11, NA-V12"," "," "," "
"LA-KF","AI-1"," "," "," "," "," "," "
"LA-KF","AI-2"," "," ","NA-T35, NA-T37, NA-T39, NA-T42, NA-T43, NA-T44, NA-T45"," ","NA-T40"," "
"LA-KF","AI-3","NA-T35, NA-T37, NA-T39"," ","NA-T40, NA-T42, NA-T43, NA-T44"," ","NA-T40"," "
"LA-KF","AI-4","NA-T35, NA-T37, NA-T39"," ","NA-T42, NA-T43"," "," "," "
"LA-KF","JP-1"," "," "," "," "," "," "
"LA-KF","JP-2","NA-T44, NA-T45"," "," "," ","NA-T41, NA-T32"," "
"LA-KS","IYK-1","NA-T4"," ","NA-T6, NA-T11, NA-T12, NA-T24, NA-T29, NA-T31, NA-T33, NA-T34, NA-T38, NA-T4, NA-V8","BS-3AB, BS-3KP"," "," "
"LA-KS","IYK-2","NA-M, NA-H, NA-T4, NA-T6"," ","NA-T11, NA-T12, NA-T2, NA-T6, NA-T21, NA-T24, NA-T29, NA-T31, NA-T33, NA-T34, NA-T38, NA-T4","BS-3AB, BS-3EL, BS-3KP, BS-3VI"," "," "
"LA-KS","IYK-3","NA-M, NA-H, NA-T6"," ","NA-T11, NA-T12, NA-T2, NA-T6, NA-T21, NA-T24, NA-T29, NA-T31, NA-T33, NA-T34, NA-T38, NA-T4","BS-3AB, BS-3EL, BS-3KP, BS-3VI","NA-T29"," "
"LA-KS","IYK-4","NA-M, NA-H, NA-T6"," ","NA-T11, NA-T21, NA-T24, NA-T29, NA-T2, NA-T33, NA-T34","BS-3EB, BS-3KP"," "," "
"LA-KS","RE-KS-1"," "," ","NA-T1"," "," "," "
"LA-KS","RE-KS-2"," "," ","NA-T1, NA-T8","BS-3ML"," "," "
"LA-KS","RE-KS-3","NA-T1"," ","NA-T13, NA-T5, NA-T8","BS-3ML"," "," "
"LA-KS","VP-1"," "," ","NA-V1, NA-V3, NA-L, NA-F","BS-3TO"," "," "
