Nivå	HTG	HT	GT_nr	Basic type	S_kode	Name		KLG_RE-IA	KLG_RE-ID-KF	KLG_RE-KS	KLG_KA	KLG_IYK	KLG_IP	KLG_BP	KLG_VP	KLG_VE	KLG_AI	KLG_AI-KS	KLG_JP	Pred_Lnr	Naturlandskap
LA	I	IA			LA-IA	Innlandsås- og fjellandskap	Hills and mountains	KLG_RE-IA						KLG_BP		KLG_VE	KLG_AI		KLG_JP	0	
LA	I	IA	1	IA-1	LA-IA-1	Dalformet åslandskap 	Concave-shaped hills 	KLG_RE-IA-1						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	1	1
LA	I	IA	10	IA-10	LA-IA-10	Dalformet fjellandskap ved skoggrensen med bebyggelse/infrastruktur	Concave-shaped low mountains with settlements 	KLG_RE-IA-1						KLG_BP-1		KLG_VE-2	KLG_AI-2		KLG_JP-1	10	0
LA	I	IA	11	IA-11	LA-IA-11	Dalformet fjellandskap med vegetasjonsdekke	Concave-shaped mountains 	KLG_RE-IA-1						KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	11	1
LA	I	IA	12	IA-12	LA-IA-12	Dalformet fjellandskap med bart fjell/blokkmark 	Concave-shaped barren mountains 	KLG_RE-IA-1						KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	12	1
LA	I	IA	13	IA-13	LA-IA-13	Dalformet fjellandskap med isbre 	Concave-shaped barren mountains with glacier 	KLG_RE-IA-1						KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	13	1
LA	I	IA	14	IA-14	LA-IA-14	Småkupert åslandskap 	Undulating hills 	KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	14	1
LA	I	IA	15	IA-15	LA-IA-15	Småkupert åslandskap med høyt jordbrukspreg	Undulating hills with agriculture	KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-2	15	1
LA	I	IA	16	IA-16	LA-IA-16	Småkupert åslandskap med bebyggelse/infrastruktur	Undulating hills with settlements 	KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	16	0
LA	I	IA	17	IA-17	LA-IA-17	Småkupert åslandskap med bebyggelse/infrastruktur og høyt jordbrukspreg	Undulating hills with settlements and agriculture	KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	17	0
LA	I	IA	18	IA-18	LA-IA-18	Småkupert åslandskap med tettsted 	Undulating hills with village 	KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	18	0
LA	I	IA	19	IA-19	LA-IA-19	Småkupert åslandskap med tettsted og høyt jordbrukspreg	Undulating hills with village and agriculture	KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-2	19	0
LA	I	IA	2	IA-2	LA-IA-2	Dalformet åslandskap med høyt jordbrukspreg	Concave-shaped hills with agriculture	KLG_RE-IA-1						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-2	2	1
LA	I	IA	20	IA-20	LA-IA-20	Småkupert åslandskap med større by 	Undulating hills with city 	KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-4		KLG_JP-1	20	0
LA	I	IA	21	IA-21	LA-IA-21	Småkupert fjellandskap ved skoggrensen 	Undulating low mountains 	KLG_RE-IA-2						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	21	1
LA	I	IA	22	IA-22	LA-IA-22	Småkupert fjellandskap ved skoggrensen med bebyggelse/infrastruktur	Undulating low mountains with settlements 	KLG_RE-IA-2						KLG_BP-1		KLG_VE-2	KLG_AI-2		KLG_JP-1	22	0
LA	I	IA	23	IA-23	LA-IA-23	Småkupert fjellandskap med vegetasjonsdekke	Undulating mountains 	KLG_RE-IA-2						KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	23	1
LA	I	IA	24	IA-24	LA-IA-24	Småkupert fjellandskap med vegetasjonsdekke og med bebyggelse/infrastruktur	Undulating mountains with settlements 	KLG_RE-IA-2						KLG_BP-1		KLG_VE-3	KLG_AI-2		KLG_JP-1	24	0
LA	I	IA	25	IA-25	LA-IA-25	Småkupert fjellandskap med bart fjell/blokkmark 	Undulating barren mountains 	KLG_RE-IA-2						KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	25	1
LA	I	IA	26	IA-26	LA-IA-26	Småkupert fjellandskap med isbre 	Undulating barren mountains with glacier 	KLG_RE-IA-2						KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	26	1
LA	I	IA	27	IA-27	LA-IA-27	Middels kupert åslandskap 	Medium steep hills 	KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	27	1
LA	I	IA	28	IA-28	LA-IA-28	Middels kupert åslandskap med høyt jordbrukspreg	Medium steep hills with agriculture	KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-2	28	1
LA	I	IA	29	IA-29	LA-IA-29	Middels kupert åslandskap med bebyggelse/infrastruktur	Medium steep hills with settlements 	KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	29	0
LA	I	IA	3	IA-3	LA-IA-3	Dalformet åslandskap med bebyggelse/infrastruktur	Concave-shaped hills with settlements 	KLG_RE-IA-1						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	3	0
LA	I	IA	30	IA-30	LA-IA-30	Middels kupert åslandskap med bebyggelse/infrastrukturog høyt jordbrukspreg	Medium steep hills with settlements and agriculture	KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	30	0
LA	I	IA	31	IA-31	LA-IA-31	Middels kupert åslandskap med tettsted 	Medium steep hills with village 	KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	31	0
LA	I	IA	32	IA-32	LA-IA-32	Middels kupert åslandskap med tettsted og høyt jordbrukspreg	Medium steep hills with village and agriculture	KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-2	32	0
LA	I	IA	33	IA-33	LA-IA-33	Middels kupert fjellandskap ved skoggrensen 	Medium steep low mountains 	KLG_RE-IA-3						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	33	1
LA	I	IA	34	IA-34	LA-IA-34	Middels kupert fjellandskap ved skoggrensen med høyt jordbrukspreg	Medium steep low mountains and agriculture	KLG_RE-IA-3						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-2	34	1
LA	I	IA	35	IA-35	LA-IA-35	Middels kupert fjellandskap ved skoggrensen med bebyggelse/infrastruktur	Medium steep low mountains with settlements 	KLG_RE-IA-3						KLG_BP-1		KLG_VE-2	KLG_AI-2		KLG_JP-1	35	0
LA	I	IA	36	IA-36	LA-IA-36	Middels kupert fjellandskap med vegetasjonsdekke 	Medium steep mountains 	KLG_RE-IA-3						KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	36	1
LA	I	IA	37	IA-37	LA-IA-37	Middels kupert fjellandskap med vegetasjonsdekke med bebyggelse/infrastruktur	Medium steep mountains with settlements 	KLG_RE-IA-3						KLG_BP-1		KLG_VE-3	KLG_AI-2		KLG_JP-1	37	0
LA	I	IA	38	IA-38	LA-IA-38	Middels kupert fjellandskap med bart fjell/blokkmark 	Medium steep barren mountains 	KLG_RE-IA-3						KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	38	1
LA	I	IA	39	IA-39	LA-IA-39	Middels kupert fjellandskap med isbre 	Medium steep barren mountains with glacier 	KLG_RE-IA-3						KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	39	1
LA	I	IA	4	IA-4	LA-IA-4	Dalformet åslandskap med bebyggelse/infrastruktur og høyt jordbrukspreg	Concave-shaped hills with settlements and agriculture	KLG_RE-IA-1						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	4	0
LA	I	IA	40	IA-40	LA-IA-40	Kupert åslandskap 	Steep hills 	KLG_RE-IA-4						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	40	1
LA	I	IA	41	IA-41	LA-IA-41	Kupert åslandskap med bebyggelse/infrastruktur	Steep hills with settlements 	KLG_RE-IA-4						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	41	0
LA	I	IA	42	IA-42	LA-IA-42	Kupert åslandskap med bebyggelse/infrastruktur og høyt jordbrukspreg	Steep hills with settlements and agriculture	KLG_RE-IA-4						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	42	0
LA	I	IA	43	IA-43	LA-IA-43	Kupert åslandskap med tettsted 	Steep hills with village 	KLG_RE-IA-4						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	43	0
LA	I	IA	44	IA-44	LA-IA-44	Kupert fjellandskap ved skoggrensen 	Steep low mountains 	KLG_RE-IA-4						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	44	1
LA	I	IA	45	IA-45	LA-IA-45	Kupert fjellandskap med vegetasjonsdekke	Steep mountains 	KLG_RE-IA-4						KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	45	1
LA	I	IA	46	IA-46	LA-IA-46	Kupert fjellandskap med bart fjell/blokkmark 	Steep barren mountains 	KLG_RE-IA-4						KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	46	1
LA	I	IA	47	IA-47	LA-IA-47	Kupert fjellandskap med isbre 	Steep barren mountains with glacier 	KLG_RE-IA-4						KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	47	1
LA	I	IA	48	IA-48	LA-IA-48	Åslandskap og lave fjell med tindepreg	Steep and rugged hills	KLG_RE-IA-5						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	48	1
LA	I	IA	49	IA-49	LA-IA-49	Åslandskap og lave fjell med tindepreg med bebyggelse/infrastruktur	Steep and rugged hills with settlements 	KLG_RE-IA-5						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	49	0
LA	I	IA	5	IA-5	LA-IA-5	Dalformet åslandskap med tettsted 	Concave-shaped hills with village 	KLG_RE-IA-1						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	5	0
LA	I	IA	50	IA-50	LA-IA-50	Åslandskap og lave fjell med tindepreg med tettsted 	Steep and rugged hills with village 	KLG_RE-IA-5						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	50	0
LA	I	IA	51	IA-51	LA-IA-51	Lave fjell med tindepreg	Steep and rugged low mountains	KLG_RE-IA-5						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	51	1
